sentence_id,vocab_id
S001,好き
S003,好き
S004,国
S006,好き
S009,駅
S012,学校
S018,秋
S018,好き
S021,元気
S029,好き
S031,家
S031,暑い
S034,朝
S035,今
S035,新しい
S038,駅
S042,今
S043,映画
S045,駅
S046,時間
S047,きれい
S053,好き
S055,美味しい
S059,朝
S059,今
S060,学校
S062,好き
S071,今
S072,家
S076,お茶
S083,好き
S084,好き
S084,読む
S085,好き
S086,家
S088,好き
S089,頭
S095,時間
S097,好き
S097,暑い
S098,今
S104,映画
S106,家
S108,今
S112,静か
S123,今
S123,暑い
S127,今
S131,今
S132,映画
S133,今
S133,忙しい
S140,朝
S143,好き
S145,好き
S146,今
S146,暑い
S147,きれい
S148,読む
S148,話す
